Date,Description,Debit,Credit,Account
2026-08-01,Salary Credit,,85000,HDFC ****4210
2026-08-02,House Rent,22000,,HDFC ****4210
2026-08-03,BigBasket Groceries,3200,,HDFC ****4210
2026-08-04,Swiggy Order,540,,SBI ****8821
2026-08-05,Uber Trip,280,,SBI ****8821
2026-08-06,Netflix Subscription,649,,HDFC ****4210
2026-08-07,Amazon Shopping,2499,,HDFC ****4210
2026-08-08,Spotify,119,,HDFC ****4210
2026-08-10,Electricity Bill,2100,,HDFC ****4210
2026-08-11,PVR Cinemas,650,,SBI ****8821
2026-08-14,Zomato Dinner,780,,SBI ****8821
2026-08-15,Blinkit,890,,HDFC ****4210
2026-08-18,Airtel Broadband,999,,HDFC ****4210
2026-08-19,Myntra,1899,,HDFC ****4210
2026-08-22,Cafe Coffee Day,370,,SBI ****8821
2026-08-24,DMart,2750,,HDFC ****4210
2026-08-25,Hotstar,299,,HDFC ****4210
2026-08-27,IRCTC,1450,,HDFC ****4210
2026-08-28,Freelance Payout,,15000,SBI ****8821
